"","iso2Code","Country","Year","Fertility","Population","GDP","Region"
"1","1A","Arab World",1968,6.86383443679102,116787194.6,278.025533043914,"Aggregates"
"2","1A","Arab World",1969,6.81763521712627,120078092,298.245194739515,"Aggregates"
"3","1A","Arab World",1970,6.76677741395568,123400916,316.67887810313,"Aggregates"
"4","1A","Arab World",1971,6.71441654208172,126726106.397961,357.392402319819,"Aggregates"
"5","1A","Arab World",1972,6.66336693790129,130095625.285716,422.456282395255,"Aggregates"
"6","1A","Arab World",1973,6.6153953275781,133592409.285716,520.943711456782,"Aggregates"
"7","1A","Arab World",1974,6.57119623513735,137327448.397961,962.512413290457,"Aggregates"
"8","1A","Arab World",1975,6.53076623617072,141376124,1044.93216907522,"Aggregates"
"9","1A","Arab World",1976,6.49240010595384,145768517.199181,1250.51005882108,"Aggregates"
"10","1A","Arab World",1977,6.45259380343462,150474227.832646,1406.84420047808,"Aggregates"
"11","1A","Arab World",1978,6.40789945702146,155422735.353867,1506.49530951751,"Aggregates"
"12","1A","Arab World",1979,6.35641268351656,160508833.889378,1946.10524401113,"Aggregates"
"13","1A","Arab World",1980,6.29555342978265,165653287,2502.62835332744,"Aggregates"
"14","1A","Arab World",1981,6.22400455662851,170835488.937566,2501.4709923258,"Aggregates"
"15","1A","Arab World",1982,6.14093852491459,176068130.531463,2260.14891424607,"Aggregates"
"16","1A","Arab World",1983,6.04645518150541,181346069.988628,2069.53543839913,"Aggregates"
"17","1A","Arab World",1984,5.9407710013817,186631962.9404,2033.7429061925,"Aggregates"
"18","1A","Arab World",1985,5.82194633453811,192047000.969484,1951.16730019026,"Aggregates"
"19","1A","Arab World",1986,5.69006860572811,197522279.579447,1785.27005907985,"Aggregates"
"20","1A","Arab World",1987,5.54770442273714,202985205.363535,1853.7932089439,"Aggregates"
"21","1A","Arab World",1988,5.39749263000859,208460436.98112,1740.88352284597,"Aggregates"
"22","1A","Arab World",1989,5.24388437281713,213911862.4,1792.2025553143,"Aggregates"
"23","1A","Arab World",1990,5.10195938038907,221488293,1947.06753766115,"Aggregates"
"24","1A","Arab World",1991,4.95262052234408,227470711,1864.73264210523,"Aggregates"
"25","1A","Arab World",1992,4.83146317992718,231443007,1962.80058606274,"Aggregates"
"26","1A","Arab World",1993,4.68495945177826,237418436,1937.0357812679,"Aggregates"
"27","1A","Arab World",1994,4.54539438435992,243271554,1932.86099074831,"Aggregates"
"28","1A","Arab World",1995,4.39350672958897,250504422,2014.82067695994,"Aggregates"
"29","1A","Arab World",1996,4.26557200269604,255932514,2178.10575279276,"Aggregates"
"30","1A","Arab World",1997,4.14373905423577,261260242,2267.63709755357,"Aggregates"
"31","1A","Arab World",1998,4.02569768225681,266537558,2160.18725692172,"Aggregates"
"32","1A","Arab World",1999,3.91441257254395,271912978,2310.2960801842,"Aggregates"
"33","1A","Arab World",2000,3.81689069066742,277561423,2607.40510142881,"Aggregates"
"34","1A","Arab World",2001,3.72794022022962,283493089,2484.62638377347,"Aggregates"
"35","1A","Arab World",2002,3.64864811364568,289680968,2465.18218907767,"Aggregates"
"36","1A","Arab World",2003,3.58350428658949,296095945,2716.25571225192,"Aggregates"
"37","1A","Arab World",2004,3.52323844053616,302824676,3125.02861215315,"Aggregates"
"38","1A","Arab World",2005,3.47309980168309,309824383,3737.30121759384,"Aggregates"
"39","1A","Arab World",2006,3.42934975661456,317125787,4403.98360209173,"Aggregates"
"40","1A","Arab World",2007,3.39145426250019,324693498,5028.47970695412,"Aggregates"
"41","1A","Arab World",2008,3.35752179779353,332424892,6236.71800248101,"Aggregates"
"42","1A","Arab World",2009,3.3253647462537,340149038,5317.24992021377,"Aggregates"
"43","1A","Arab World",2010,3.29740869144978,347737036,6049.39901758129,"Aggregates"
"44","1A","Arab World",2011,3.26554516659439,355137048,7193.48855445625,"Aggregates"
"45","1W","World",1960,4.97965556568155,3036764705,444.408117497211,"Aggregates"
"46","1W","World",1961,4.99663344652938,3077758284.30678,455.049567090648,"Aggregates"
"47","1W","World",1962,5.01124414014614,3130657233.84374,479.994924708236,"Aggregates"
"48","1W","World",1963,5.02258570097663,3195476357.17174,505.039570928202,"Aggregates"
"49","1W","World",1964,5.02152546961551,3260862523.4386,541.108439807769,"Aggregates"
